slub-id,seiten
39946221X-19080725,40
39946221X-18590101,40
39946221X-18730201,16
39946221X-18531111,20
39946221X-18590525,12
39946221X-18641216,20
39946221X-18420819,12
39946221X-18990520,32
39946221X-18820323,20
39946221X-18780129,16
39946221X-18720626,16
39946221X-19210707,36
39946221X-19261206,60
39946221X-18730819,16
39946221X-18580514,16
39946221X-18750818,16
39946221X-19261202,67
39946221X-18970804,20
39946221X-19200410,48
39946221X-18451216,16
39946221X-19010706,36
39946221X-18570109,16
39946221X-19030922,48
39946221X-18760217,16
39946221X-18950228,24
39946221X-19100112,44
39946221X-18930803,20
39946221X-19040304,56
39946221X-18801208,20
39946221X-19140126,40
39946221X-18660709,8
39946221X-19131004,71
39946221X-18961008,32
39946221X-19221016,60
39946221X-19130418,64
39946221X-19050829,32
39946221X-18881008,24
39946221X-18760822,12
39946221X-18760828,16
39946221X-18691112,20
39946221X-18910204,24
39946221X-19110206,44
39946221X-19221026,72
39946221X-18930304,28
39946221X-19110725,36
39946221X-19031007,32
39946221X-18971220,20
39946221X-19201218,43
39946221X-18731215,16
39946221X-18850722,24
39946221X-18700804,16
39946221X-18830710,12
39946221X-19100715,44
39946221X-18650213,24
39946221X-19170120,43
39946221X-18990619,28
39946221X-18650208,20
39946221X-19150616,36
39946221X-18790915,20
39946221X-19020620,32
39946221X-19141001,24
39946221X-19180806,32
39946221X-18580322,16
39946221X-19130828,39
39946221X-18391115,12
39946221X-18820914,20
39946221X-18440702,24
39946221X-18890529,56
39946221X-19020825,28
39946221X-18680928,12
39946221X-19050727,28
39946221X-19160901,35
39946221X-18360101,12
39946221X-18800405,16
39946221X-18950305,20
39946221X-18611108,24
39946221X-18401225,8
39946221X-18970723,24
39946221X-18890615,24
39946221X-18761005,16
39946221X-19071129,76
39946221X-19100323,44
39946221X-19271027,59
39946221X-18710710,16
39946221X-18720226,20
39946221X-18450822,16
39946221X-19010419,44
39946221X-18950711,24
39946221X-18821006,20
39946221X-18780624,16
39946221X-18960229,28
39946221X-19060510,48
39946221X-19210910,63
39946221X-19050323,52
39946221X-18841112,24
39946221X-18710515,16
39946221X-19210701,40
39946221X-18500614,16
39946221X-19261122,60
39946221X-18710810,16
39946221X-18970623,28
39946221X-19001003,32
39946221X-19241017,95
39946221X-19160617,36
39946221X-18640817,16
39946221X-19231023,24
39946221X-18941112,32
39946221X-19060508,56
39946221X-18550117,12
39946221X-18470702,12
39946221X-18811212,16
39946221X-18390830,12
39946221X-18850227,20
39946221X-18970327,28
39946221X-18650123,20
39946221X-19150121,39
39946221X-18810329,16
39946221X-18490928,12
39946221X-18730204,16
39946221X-19020412,52
39946221X-18931118,40
39946221X-19270803,19
39946221X-18430510,16
39946221X-19270823,35
39946221X-18350501,12
39946221X-19220220,64
39946221X-18860211,20
39946221X-19230823,32
39946221X-18480428,12
39946221X-18800831,16
39946221X-19060822,32
39946221X-18780913,16
39946221X-18590603,16
39946221X-19120906,56
39946221X-18500205,16
39946221X-18811123,24
39946221X-19150826,24
39946221X-18630112,16
39946221X-18931207,36
39946221X-18810317,20
39946221X-19150712,24
39946221X-18980927,36
39946221X-18820531,16
39946221X-19190730,59
39946221X-19110926,63
39946221X-19090716,40
39946221X-18741023,16
39946221X-18960817,20
39946221X-18731111,20
39946221X-19020709,24
39946221X-18950719,20
39946221X-18781217,12
39946221X-18781011,16
39946221X-19020115,44
39946221X-18850825,16
39946221X-18590706,16
39946221X-19010702,36
39946221X-19091122,72
39946221X-19040212,38
39946221X-19150226,68
39946221X-19090810,52
39946221X-19240428,56
39946221X-18960131,20
39946221X-19130125,60
39946221X-19030113,40
39946221X-18720409,16
39946221X-18780514,16
39946221X-18960820,28
39946221X-18970913,32
39946221X-19260722,32
39946221X-18800810,16
39946221X-18840212,16
39946221X-19140401,48
39946221X-18891015,32
39946221X-18870317,24
39946221X-18530902,16
39946221X-18720701,16
39946221X-18701121,16
39946221X-18860309,20
39946221X-18600512,4
39946221X-18580611,16
39946221X-19031110,52
39946221X-19260913,39
39946221X-18750129,12
39946221X-18790627,16
39946221X-18801216,16
39946221X-19180827,28
39946221X-18450801,12
39946221X-18791216,16
39946221X-18700211,16
39946221X-18970714,24
39946221X-19040922,44
39946221X-18890105,20
39946221X-19010107,36
39946221X-18790903,16
39946221X-19260706,52
39946221X-18961114,44
39946221X-18891016,24
39946221X-19040113,48
39946221X-19240807,35
39946221X-18950126,24
39946221X-18540315,12
39946221X-19040719,28
39946221X-18980607,28
39946221X-18801007,20
39946221X-18800503,20
39946221X-18740311,20
39946221X-18790520,16
39946221X-19170502,31
39946221X-19080505,56
39946221X-18980325,28
39946221X-18780716,16
39946221X-19090928,64
39946221X-18930330,32
39946221X-18440504,8
39946221X-18940105,24
39946221X-18550919,12
39946221X-18850730,16
39946221X-19081201,60
39946221X-18420301,20
39946221X-19200605,60
39946221X-18690429,16
39946221X-18540726,12
39946221X-19020123,32
39946221X-19050131,44
39946221X-18780711,16
39946221X-18500705,12
39946221X-19110617,60
39946221X-18630209,20
39946221X-18690413,12
39946221X-18940606,24
39946221X-18480818,12
39946221X-19100305,64
39946221X-18391105,12
39946221X-18911207,32
39946221X-19120926,55
39946221X-19211019,79
39946221X-18971203,40
39946221X-19080328,68
39946221X-18730923,16
39946221X-18700609,16
39946221X-18780323,16
39946221X-19150305,44
39946221X-19140910,24
39946221X-18840213,24
39946221X-18431212,20
39946221X-19020205,36
39946221X-18600120,16
39946221X-19120622,55
39946221X-18840219,20
39946221X-18810712,16
39946221X-19241016,92
39946221X-18990817,32
39946221X-19160212,40
39946221X-18801231,16
39946221X-18710808,16
39946221X-19170125,36
39946221X-19180826,32
39946221X-18580326,16
39946221X-18940918,32
39946221X-19090525,52
39946221X-19250318,68
